Add	O
I’m	DESCRIPTION
going	DESCRIPTION
to	DESCRIPTION
swim	DESCRIPTION
this	O
Sunday	O
,	O
tag	O
with	O
important	O
.	O

Buy	DESCRIPTION
a	DESCRIPTION
book	DESCRIPTION
,	O
tag	O
with	O
medium	O
,	O
next	O
friday	O
18:00	O
to	O
20:00	O
.	O

Today	O
,	O
18:00	O
to	O
20:00	O
,	O
watch	DESCRIPTION
lsm	DESCRIPTION
webcast	DESCRIPTION
tag	O
with	O
important	O
.	O

add	O
buy	DESCRIPTION
a	DESCRIPTION
pen	DESCRIPTION
tomorrow	O
.	O

add	O
clean	DESCRIPTION
blackboard	DESCRIPTION
tomorrow	O
.	O

add	O
turn	DESCRIPTION
on	DESCRIPTION
the	DESCRIPTION
computer	DESCRIPTION
tomorrow	O
.	O

add	O
buy	DESCRIPTION
a	DESCRIPTION
keyboar	DESCRIPTION
today	O
.	O

add	O
go	DESCRIPTION
toilet	DESCRIPTION
today	O
.	O

add	O
attend	DESCRIPTION
cs2103	DESCRIPTION
lecture	DESCRIPTION
this	O
Friday	O
.	O

add	O
go	DESCRIPTION
to	DESCRIPTION
grandma’s	DESCRIPTION
home	DESCRIPTION
this	O
Friday	O
.	O

Add	O
reading	DESCRIPTION
books	DESCRIPTION
tomorrow O
,	O
18:00	O
to	O
20:00	O
.	O

Add	O
repair	DESCRIPTION
computer	DESCRIPTION
10	O
Oct 	O
.	O

add	O
dog	DESCRIPTION
fooding	DESCRIPTION
Oct	O
26	O
.	O

add	O
buy	DESCRIPTION
food	DESCRIPTION
Sep	O
20	O
.	O

add	O
level	DESCRIPTION
party	DESCRIPTION
October	O
30	O
.	O

add	O
clean	DESCRIPTION
keyboard	DESCRIPTION
25	O
Oct	O
.	O

add	O
buy	DESCRIPTION
a	DESCRIPTION
book	DESCRIPTION
stand	DESCRIPTION
28	O
Nov	O
.	O

add	O
group	DESCRIPTION
meeting	DESCRIPTION
this	O
Fri	O
.	O

add	O
report	DESCRIPTION
to	DESCRIPTION
maintenance	DESCRIPTION
October	O
31	O
.	O

add	O
report	DESCRIPTION
to	DESCRIPTION
maintenance	DESCRIPTION
October	O
31	O
.	O

add	O
report	DESCRIPTION
to	DESCRIPTION
maintenance	DESCRIPTION
October	O
31	O
.	O

add	O
report	DESCRIPTION
to	DESCRIPTION
maintenance	DESCRIPTION
Oct	O
31	O
.	O

add	O
report	DESCRIPTION
to	DESCRIPTION
maintenance	DESCRIPTION
Oct	O
31	O
.	O

add	O
report	DESCRIPTION
to	DESCRIPTION
maintenance	DESCRIPTION
Oct	O
31	O
.	O

Going	DESCRIPTION
home	DESCRIPTION
tomorrow	O

Going	DESCRIPTION
home	DESCRIPTION
priority	O
high	O
tomorrow	O

add	O
task	DESCRIPTION
tomorrow	O
.	O

add	O
task	DESCRIPTION
tomorrow	O
.	O

add	O
task	DESCRIPTION
tomorrow	O
.	O

add	O
task	DESCRIPTION
tomorrow	O
.	O

add	O
task1	DESCRIPTION
tmr	O
.	O

add	O
task1	DESCRIPTION
tmr	O
.	O

add	O
task1	DESCRIPTION
tmr	O
.	O

add	O
task2	DESCRIPTION
today	O
.	O

add	O
task2	DESCRIPTION
today	O
.	O

add	O
task2	DESCRIPTION
today	O
.	O

add	O
finish	DESCRIPTION
v0.3	DESCRIPTION
today	O
.	O

update 	O
2	O
finish	DESCRIPTION
v0.3	DESCRIPTION
today	O
.	O

add	O
attend	DESCRIPTION
LSM1302	DESCRIPTION
lecture	DESCRIPTION
tmr	O
.	O

update	O
1	O
attend	DESCRIPTION
LSM1302	DESCRIPTION
lecture	DESCRIPTION
tmr	O
.	O

add	O
group	DESCRIPTION
meeting	DESCRIPTION
for	DESCRIPTION
OP2	DESCRIPTION
this	O
Friday	O
.	O

update	O
2	O
group	DESCRIPTION
meeting	DESCRIPTION
for	DESCRIPTION
OP2	DESCRIPTION
this	O
Friday	O
.	O

add	O
support	DESCRIPTION
learning	DESCRIPTION
in	DESCRIPTION
next	DESCRIPTION
milestone	DESCRIPTION
next	O
Wednesday	O
.	O

update O
1	O
support	DESCRIPTION
learning	DESCRIPTION
in	DESCRIPTION
next	DESCRIPTION
milestone	DESCRIPTION
next	O
Wednesday	O
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

update O
8	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

add	O
finish	DESCRIPTION
v0.3	DESCRIPTION
.	O

add	O
train	DESCRIPTION
models	DESCRIPTION
with	DESCRIPTION
more	DESCRIPTION
data	DESCRIPTION
.	O

update	O
2	O
train	DESCRIPTION
models	DESCRIPTION
with	DESCRIPTION
more	DESCRIPTION
data	DESCRIPTION
.	O

update	O
2	O
train	DESCRIPTION
models	DESCRIPTION
with	DESCRIPTION
more	DESCRIPTION
data	DESCRIPTION
.	O

update	O
2	O
train	DESCRIPTION
models	DESCRIPTION
with	DESCRIPTION
more	DESCRIPTION
data	DESCRIPTION
.	O

add	O
clear	O
my	DESCRIPTION
trash	DESCRIPTION
bin	DESCRIPTION
.	O

today	O
I	DESCRIPTION
need	DESCRIPTION
to	DESCRIPTION
buy	DESCRIPTION
a	DESCRIPTION
new	DESCRIPTION
book	DESCRIPTION
.	O

fix	DESCRIPTION
bugs	DESCRIPTION
before	O
this	O
Sunday	O
.	O

add	O
plan	DESCRIPTION
for	DESCRIPTION
reading	DESCRIPTION
week	DESCRIPTION
by	O
tomorrow	O
9pm	O
.	O

update	O
task	O
2	O
fix	DESCRIPTION
bugs	DESCRIPTION
.	O

update	O
task	O
3	O
having	DESCRIPTION
dinner	DESCRIPTION
with	DESCRIPTION
